# Athena++ data at time=6.000000e-01  cycle=7794  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0042  1.27129e-01  1.46998e+02  2.33597e+02  5.82946e+00  9.29488e-16 -9.42989e-01  3.08025e+01  1.26999e-14 -1.04519e+01
0043  1.29033e-01  1.42506e+02  2.21817e+02  5.83702e+00  2.31199e-15 -9.60170e-01  2.98999e+01  2.18222e-14 -1.03000e+01
0044  1.30937e-01  1.38219e+02  2.10804e+02  5.84425e+00  1.52412e-15 -9.77301e-01  2.90363e+01  1.24633e-14 -1.01523e+01
0045  1.32841e-01  1.34125e+02  2.00497e+02  5.85118e+00  1.50336e-15 -9.94383e-01  2.82096e+01  1.20601e-14 -1.00087e+01
0046  1.34746e-01  1.30212e+02  1.90841e+02  5.85782e+00  1.12266e-15 -1.01142e+00  2.74177e+01  3.79959e-15 -9.86911e+00
0047  1.36650e-01  1.26470e+02  1.81786e+02  5.86419e+00  1.20757e-15 -1.02841e+00  2.66587e+01  2.79862e-15 -9.73327e+00
0048  1.38554e-01  1.22889e+02  1.73285e+02  5.87031e+00  1.10283e-15 -1.04537e+00  2.59308e+01  2.34920e-15 -9.60107e+00
0049  1.40458e-01  1.19460e+02  1.65298e+02  5.87618e+00  1.42632e-15 -1.06228e+00  2.52323e+01  8.51130e-15 -9.47235e+00
0050  1.42363e-01  1.16173e+02  1.57787e+02  5.88182e+00  2.26125e-15 -1.07915e+00  2.45617e+01  1.82828e-14 -9.34700e+00
0051  1.44267e-01  1.13022e+02  1.50716e+02  5.88725e+00  2.01131e-15 -1.09599e+00  2.39174e+01  1.57473e-14 -9.22488e+00
0052  1.46171e-01  1.09998e+02  1.44054e+02  5.89247e+00  2.42458e-15 -1.11280e+00  2.32982e+01  1.72126e-14 -9.10587e+00
0053  1.48075e-01  1.07095e+02  1.37773e+02  5.89749e+00  2.15688e-15 -1.12957e+00  2.27027e+01  1.22262e-14 -8.98985e+00
0054  1.49980e-01  1.04307e+02  1.31845e+02  5.90233e+00  1.20404e-15 -1.14631e+00  2.21297e+01 -3.54924e-15 -8.87672e+00
0055  1.51884e-01  1.01627e+02  1.26247e+02  5.90699e+00 -5.84057e-16 -1.16302e+00  2.15782e+01 -1.44718e-14 -8.76637e+00
0056  1.53788e-01  9.90505e+01  1.20955e+02  5.91149e+00 -7.06087e-16 -1.17970e+00  2.10470e+01 -9.41299e-15 -8.65871e+00
0057  1.55692e-01  9.65712e+01  1.15950e+02  5.91582e+00 -6.52701e-16 -1.19635e+00  2.05352e+01 -6.15852e-16 -8.55363e+00
0058  1.57597e-01  9.41847e+01  1.11213e+02  5.92001e+00 -7.71016e-16 -1.21298e+00  2.00419e+01 -1.52801e-15 -8.45104e+00
0059  1.59501e-01  9.18862e+01  1.06725e+02  5.92405e+00 -9.43534e-16 -1.22958e+00  1.95661e+01 -4.21355e-15 -8.35087e+00
0060  1.61405e-01  8.96715e+01  1.02472e+02  5.92795e+00 -1.24272e-15 -1.24616e+00  1.91070e+01 -4.05514e-15 -8.25302e+00
0061  1.63309e-01  8.75366e+01  9.84371e+01  5.93171e+00 -1.94969e-15 -1.26271e+00  1.86640e+01 -5.77134e-16 -8.15742e+00
0062  1.65214e-01  8.54776e+01  9.46075e+01  5.93536e+00 -1.90754e-15 -1.27924e+00  1.82361e+01  5.98546e-15 -8.06399e+00
0063  1.67118e-01  8.34909e+01  9.09704e+01  5.93888e+00 -2.23118e-15 -1.29575e+00  1.78228e+01  1.08253e-15 -7.97266e+00
0064  1.69022e-01  8.15732e+01  8.75139e+01  5.94229e+00 -2.47914e-15 -1.31224e+00  1.74234e+01 -4.64187e-15 -7.88336e+00
0065  1.70926e-01  7.97212e+01  8.42271e+01  5.94558e+00 -2.54548e-15 -1.32870e+00  1.70373e+01 -1.82643e-15 -7.79602e+00
0066  1.72831e-01  7.79321e+01  8.10997e+01  5.94878e+00 -8.04201e-16 -1.34515e+00  1.66639e+01  1.46214e-14 -7.71058e+00
0067  1.74735e-01  7.62030e+01  7.81223e+01  5.95187e+00 -1.04517e-15 -1.36158e+00  1.63026e+01  9.35455e-15 -7.62699e+00
0068  1.76639e-01  7.45311e+01  7.52860e+01  5.95486e+00 -1.73798e-16 -1.37799e+00  1.59529e+01  1.48440e-14 -7.54517e+00
0069  1.78543e-01  7.29140e+01  7.25828e+01  5.95777e+00  3.75794e-16 -1.39438e+00  1.56144e+01  1.27866e-14 -7.46508e+00
0070  1.80448e-01  7.13493e+01  7.00050e+01  5.96058e+00  5.27021e-16 -1.41076e+00  1.52865e+01  7.46252e-15 -7.38666e+00
0071  1.82352e-01  6.98348e+01  6.75455e+01  5.96331e+00  5.34061e-16 -1.42712e+00  1.49689e+01  5.60649e-16 -7.30987e+00
0072  1.84256e-01  6.83683e+01  6.51975e+01  5.96596e+00  4.72220e-16 -1.44346e+00  1.46610e+01 -2.13069e-15 -7.23464e+00
0073  1.86160e-01  6.69477e+01  6.29551e+01  5.96852e+00  3.74424e-16 -1.45979e+00  1.43625e+01 -3.00882e-15 -7.16094e+00
0074  1.88065e-01  6.55713e+01  6.08123e+01  5.97102e+00 -1.45592e-16 -1.47611e+00  1.40731e+01 -7.84569e-15 -7.08872e+00
0075  1.89969e-01  6.42371e+01  5.87637e+01  5.97344e+00 -1.17298e-15 -1.49241e+00  1.37924e+01 -1.33159e-14 -7.01793e+00
0076  1.91873e-01  6.29435e+01  5.68042e+01  5.97579e+00 -2.16550e-15 -1.50869e+00  1.35199e+01 -1.24501e-14 -6.94854e+00
0077  1.93778e-01  6.16887e+01  5.49292e+01  5.97807e+00 -1.66072e-15 -1.52496e+00  1.32554e+01 -2.36553e-15 -6.88050e+00
0078  1.95682e-01  6.04713e+01  5.31342e+01  5.98029e+00 -8.47205e-17 -1.54122e+00  1.29987e+01  1.04954e-14 -6.81377e+00
0079  1.97586e-01  5.92898e+01  5.14150e+01  5.98245e+00  5.46198e-16 -1.55747e+00  1.27493e+01  8.04916e-15 -6.74832e+00
0080  1.99490e-01  5.81428e+01  4.97676e+01  5.98455e+00  4.71302e-16 -1.57370e+00  1.25070e+01  5.13496e-15 -6.68411e+00
0081  2.01395e-01  5.70289e+01  4.81885e+01  5.98659e+00 -1.62980e-16 -1.58992e+00  1.22716e+01 -2.65746e-15 -6.62110e+00
0082  2.03299e-01  5.59469e+01  4.66741e+01  5.98858e+00 -5.54935e-16 -1.60613e+00  1.20427e+01 -4.63232e-15 -6.55927e+00
0083  2.05203e-01  5.48955e+01  4.52212e+01  5.99051e+00 -5.07954e-16 -1.62233e+00  1.18202e+01 -7.24346e-15 -6.49857e+00
0084  2.07107e-01  5.38737e+01  4.38267e+01  5.99239e+00 -4.06095e-16 -1.63852e+00  1.16038e+01 -8.69476e-15 -6.43899e+00
0085  2.09012e-01  5.28802e+01  4.24879e+01  5.99422e+00 -2.39049e-16 -1.65470e+00  1.13933e+01 -6.41934e-15 -6.38048e+00
0086  2.10916e-01  5.19141e+01  4.12019e+01  5.99600e+00  4.75434e-16 -1.67086e+00  1.11885e+01  5.13564e-15 -6.32302e+00
0087  2.12820e-01  5.09744e+01  3.99662e+01  5.99774e+00  1.26939e-15 -1.68702e+00  1.09891e+01  1.44639e-14 -6.26659e+00
0088  2.14724e-01  5.00601e+01  3.87784e+01  5.99943e+00  2.40554e-15 -1.70317e+00  1.07951e+01  1.99331e-14 -6.21115e+00
0089  2.16629e-01  4.91702e+01  3.76362e+01  6.00107e+00  2.55187e-15 -1.71930e+00  1.06061e+01  1.80612e-14 -6.15668e+00
0090  2.18533e-01  4.83040e+01  3.65375e+01  6.00268e+00  2.51162e-15 -1.73543e+00  1.04220e+01  1.32423e-14 -6.10316e+00
0091  2.20437e-01  4.74606e+01  3.54803e+01  6.00424e+00  1.77646e-15 -1.75155e+00  1.02427e+01  6.11860e-15 -6.05055e+00
