# Athena++ data at time=6.000000e-01  cycle=7794  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0176  3.82301e-01  1.56218e+01  5.56613e+00  6.06418e+00  9.59676e-15 -3.10338e+00  3.40501e+00  1.75675e-14 -3.49091e+00
0177  3.84206e-01  1.54666e+01  5.47425e+00  6.06447e+00  9.29306e-15 -3.11916e+00  3.37133e+00  3.14462e-14 -3.47362e+00
0178  3.86110e-01  1.53137e+01  5.38433e+00  6.06475e+00  8.20442e-15 -3.13495e+00  3.33816e+00  3.59649e-14 -3.45650e+00
0179  3.88014e-01  1.51630e+01  5.29632e+00  6.06503e+00  6.88045e-15 -3.15072e+00  3.30547e+00  3.67333e-14 -3.43954e+00
0180  3.89919e-01  1.50146e+01  5.21018e+00  6.06531e+00  4.58215e-15 -3.16650e+00  3.27326e+00  3.12602e-14 -3.42276e+00
0181  3.91823e-01  1.48683e+01  5.12585e+00  6.06558e+00  2.75470e-15 -3.18228e+00  3.24151e+00  2.31071e-14 -3.40613e+00
0182  3.93727e-01  1.47242e+01  5.04329e+00  6.06585e+00  2.56183e-15 -3.19805e+00  3.21023e+00  1.64846e-14 -3.38967e+00
0183  3.95631e-01  1.45821e+01  4.96245e+00  6.06611e+00  2.92656e-15 -3.21383e+00  3.17940e+00  1.23340e-14 -3.37337e+00
0184  3.97536e-01  1.44421e+01  4.88329e+00  6.06637e+00  4.62185e-15 -3.22960e+00  3.14901e+00  1.05111e-14 -3.35722e+00
0185  3.99440e-01  1.43041e+01  4.80577e+00  6.06662e+00  7.32734e-15 -3.24537e+00  3.11905e+00  5.83732e-15 -3.34123e+00
0186  4.01344e-01  1.41681e+01  4.72984e+00  6.06687e+00  8.98932e-15 -3.26114e+00  3.08952e+00 -3.63004e-15 -3.32538e+00
0187  4.03249e-01  1.40340e+01  4.65546e+00  6.06712e+00  9.88407e-15 -3.27690e+00  3.06041e+00 -1.03699e-14 -3.30969e+00
0188  4.05153e-01  1.39019e+01  4.58260e+00  6.06736e+00  1.04097e-14 -3.29267e+00  3.03170e+00 -1.31024e-14 -3.29415e+00
0189  4.07057e-01  1.37715e+01  4.51122e+00  6.06760e+00  1.02977e-14 -3.30843e+00  3.00340e+00 -1.28296e-14 -3.27875e+00
0190  4.08961e-01  1.36430e+01  4.44128e+00  6.06784e+00  1.04055e-14 -3.32420e+00  2.97549e+00 -8.34413e-15 -3.26349e+00
0191  4.10866e-01  1.35163e+01  4.37274e+00  6.06807e+00  1.05444e-14 -3.33996e+00  2.94797e+00 -5.49074e-16 -3.24837e+00
0192  4.12770e-01  1.33914e+01  4.30557e+00  6.06830e+00  1.05346e-14 -3.35572e+00  2.92083e+00  5.08724e-15 -3.23340e+00
0193  4.14674e-01  1.32682e+01  4.23974e+00  6.06852e+00  1.00030e-14 -3.37148e+00  2.89406e+00  4.57963e-15 -3.21856e+00
0194  4.16579e-01  1.31467e+01  4.17521e+00  6.06874e+00  8.15246e-15 -3.38724e+00  2.86766e+00  2.95585e-16 -3.20386e+00
0195  4.18483e-01  1.30268e+01  4.11195e+00  6.06896e+00  5.20869e-15 -3.40299e+00  2.84162e+00 -6.22790e-15 -3.18929e+00
0196  4.20387e-01  1.29086e+01  4.04994e+00  6.06918e+00  2.51752e-15 -3.41875e+00  2.81593e+00 -9.32420e-15 -3.17485e+00
0197  4.22291e-01  1.27920e+01  3.98914e+00  6.06939e+00  2.04885e-16 -3.43450e+00  2.79059e+00 -1.17607e-14 -3.16055e+00
0198  4.24196e-01  1.26769e+01  3.92952e+00  6.06960e+00 -1.10053e-15 -3.45026e+00  2.76559e+00 -1.25693e-14 -3.14637e+00
0199  4.26100e-01  1.25634e+01  3.87105e+00  6.06981e+00 -2.01008e-15 -3.46601e+00  2.74092e+00 -1.36329e-14 -3.13232e+00
0200  4.28004e-01  1.24515e+01  3.81371e+00  6.07001e+00 -1.92504e-15 -3.48176e+00  2.71658e+00 -1.21458e-14 -3.11839e+00
0201  4.29909e-01  1.23410e+01  3.75747e+00  6.07021e+00 -1.32937e-15 -3.49751e+00  2.69257e+00 -9.40179e-15 -3.10459e+00
0202  4.31813e-01  1.22320e+01  3.70231e+00  6.07041e+00  2.21909e-16 -3.51326e+00  2.66887e+00 -5.61056e-15 -3.09091e+00
0203  4.33717e-01  1.21244e+01  3.64820e+00  6.07060e+00  3.21127e-15 -3.52900e+00  2.64548e+00  6.23854e-16 -3.07734e+00
0204  4.35622e-01  1.20182e+01  3.59511e+00  6.07079e+00  5.54739e-15 -3.54475e+00  2.62240e+00  3.12806e-16 -3.06390e+00
0205  4.37526e-01  1.19135e+01  3.54302e+00  6.07098e+00  5.57590e-15 -3.56050e+00  2.59962e+00 -1.41067e-15 -3.05058e+00
0206  4.39430e-01  1.18101e+01  3.49191e+00  6.07117e+00  5.49468e-15 -3.57624e+00  2.57714e+00 -4.22354e-16 -3.03737e+00
0207  4.41334e-01  1.17080e+01  3.44175e+00  6.07135e+00  4.98874e-15 -3.59198e+00  2.55494e+00  1.02982e-15 -3.02427e+00
0208  4.43239e-01  1.16073e+01  3.39253e+00  6.07153e+00  4.56686e-15 -3.60773e+00  2.53303e+00  4.83004e-15 -3.01129e+00
0209  4.45143e-01  1.15078e+01  3.34422e+00  6.07171e+00  3.94909e-15 -3.62347e+00  2.51141e+00  7.62923e-15 -2.99841e+00
0210  4.47047e-01  1.14096e+01  3.29680e+00  6.07188e+00  3.03752e-15 -3.63921e+00  2.49005e+00  8.04474e-15 -2.98565e+00
0211  4.48952e-01  1.13127e+01  3.25025e+00  6.07206e+00  1.94282e-15 -3.65494e+00  2.46897e+00  7.14468e-15 -2.97300e+00
0212  4.50856e-01  1.12170e+01  3.20456e+00  6.07223e+00  1.74175e-15 -3.67068e+00  2.44816e+00  7.36408e-15 -2.96045e+00
0213  4.52760e-01  1.11226e+01  3.15969e+00  6.07239e+00  2.19007e-15 -3.68642e+00  2.42761e+00  1.03308e-14 -2.94801e+00
0214  4.54664e-01  1.10293e+01  3.11564e+00  6.07256e+00  3.96086e-15 -3.70215e+00  2.40731e+00  1.22181e-14 -2.93567e+00
0215  4.56569e-01  1.09372e+01  3.07239e+00  6.07272e+00  5.55274e-15 -3.71789e+00  2.38727e+00  1.07276e-14 -2.92343e+00
0216  4.58473e-01  1.08462e+01  3.02991e+00  6.07288e+00  5.43387e-15 -3.73362e+00  2.36748e+00  3.68209e-15 -2.91130e+00
0217  4.60377e-01  1.07564e+01  2.98820e+00  6.07304e+00  5.46737e-15 -3.74936e+00  2.34793e+00 -2.12283e-15 -2.89927e+00
0218  4.62282e-01  1.06676e+01  2.94723e+00  6.07320e+00  5.21832e-15 -3.76509e+00  2.32862e+00 -6.10532e-15 -2.88733e+00
0219  4.64186e-01  1.05800e+01  2.90699e+00  6.07335e+00  4.67539e-15 -3.78082e+00  2.30956e+00 -5.98164e-15 -2.87550e+00
0220  4.66090e-01  1.04935e+01  2.86746e+00  6.07351e+00  4.06527e-15 -3.79655e+00  2.29072e+00 -3.08709e-15 -2.86376e+00
0221  4.67994e-01  1.04080e+01  2.82862e+00  6.07366e+00  2.96886e-15 -3.81228e+00  2.27211e+00  2.10193e-15 -2.85211e+00
0222  4.69899e-01  1.03235e+01  2.79047e+00  6.07381e+00  1.57465e-15 -3.82801e+00  2.25373e+00  9.17099e-15 -2.84056e+00
0223  4.71803e-01  1.02401e+01  2.75298e+00  6.07395e+00 -3.78485e-16 -3.84374e+00  2.23558e+00  1.22328e-14 -2.82911e+00
0224  4.73707e-01  1.01577e+01  2.71615e+00  6.07410e+00 -2.65338e-15 -3.85946e+00  2.21764e+00  1.33152e-14 -2.81774e+00
0225  4.75612e-01  1.00763e+01  2.67996e+00  6.07424e+00 -4.57438e-15 -3.87519e+00  2.19991e+00  1.30930e-14 -2.80647e+00
0226  4.77516e-01  9.99584e+00  2.64439e+00  6.07438e+00 -4.77560e-15 -3.89091e+00  2.18240e+00  1.41991e-14 -2.79529e+00
0227  4.79420e-01  9.91635e+00  2.60943e+00  6.07452e+00 -4.36137e-15 -3.90664e+00  2.16509e+00  1.58482e-14 -2.78419e+00
0228  4.81324e-01  9.83782e+00  2.57507e+00  6.07465e+00 -2.91188e-15 -3.92236e+00  2.14799e+00  1.62592e-14 -2.77319e+00
0229  4.83229e-01  9.76021e+00  2.54130e+00  6.07479e+00 -1.12597e-16 -3.93808e+00  2.13110e+00  1.81136e-14 -2.76227e+00
0230  4.85133e-01  9.68352e+00  2.50810e+00  6.07492e+00  3.43647e-15 -3.95380e+00  2.11440e+00  2.14116e-14 -2.75143e+00
0231  4.87037e-01  9.60773e+00  2.47546e+00  6.07505e+00  7.37002e-15 -3.96953e+00  2.09789e+00  2.33632e-14 -2.74068e+00
0232  4.88942e-01  9.53282e+00  2.44338e+00  6.07518e+00  1.05108e-14 -3.98525e+00  2.08158e+00  2.22642e-14 -2.73002e+00
0233  4.90846e-01  9.45879e+00  2.41183e+00  6.07531e+00  1.11852e-14 -4.00096e+00  2.06546e+00  1.82657e-14 -2.71943e+00
0234  4.92750e-01  9.38563e+00  2.38081e+00  6.07543e+00  1.11174e-14 -4.01668e+00  2.04952e+00  1.33095e-14 -2.70893e+00
0235  4.94655e-01  9.31330e+00  2.35031e+00  6.07556e+00  1.09562e-14 -4.03240e+00  2.03377e+00  1.00194e-14 -2.69851e+00
0236  4.96559e-01  9.24181e+00  2.32032e+00  6.07568e+00  1.07893e-14 -4.04812e+00  2.01820e+00  6.03617e-15 -2.68817e+00
0237  4.98463e-01  9.17115e+00  2.29082e+00  6.07580e+00  1.04312e-14 -4.06383e+00  2.00281e+00 -2.01815e-15 -2.67791e+00
0238  5.00367e-01  9.10129e+00  2.26180e+00  6.07592e+00  9.44220e-15 -4.07955e+00  1.98759e+00 -1.02067e-14 -2.66773e+00
0239  5.02272e-01  9.03223e+00  2.23327e+00  6.07604e+00  8.05623e-15 -4.09527e+00  1.97255e+00 -1.12302e-14 -2.65762e+00
0240  5.04176e-01  8.96395e+00  2.20520e+00  6.07615e+00  7.38996e-15 -4.11098e+00  1.95767e+00 -7.98243e-15 -2.64759e+00
0241  5.06080e-01  8.89644e+00  2.17758e+00  6.07627e+00  7.04579e-15 -4.12669e+00  1.94297e+00 -5.64749e-15 -2.63764e+00
0242  5.07985e-01  8.82969e+00  2.15042e+00  6.07638e+00  6.36961e-15 -4.14241e+00  1.92843e+00 -7.03581e-15 -2.62776e+00
0243  5.09889e-01  8.76370e+00  2.12369e+00  6.07649e+00  5.33703e-15 -4.15812e+00  1.91405e+00 -8.26811e-15 -2.61795e+00
0244  5.11793e-01  8.69844e+00  2.09740e+00  6.07660e+00  4.08231e-15 -4.17383e+00  1.89983e+00 -7.44726e-15 -2.60822e+00
0245  5.13697e-01  8.63391e+00  2.07152e+00  6.07671e+00  3.96174e-15 -4.18954e+00  1.88577e+00 -2.70741e-15 -2.59856e+00
0246  5.15602e-01  8.57009e+00  2.04607e+00  6.07682e+00  3.96790e-15 -4.20525e+00  1.87186e+00  1.48596e-16 -2.58897e+00
0247  5.17506e-01  8.50698e+00  2.02101e+00  6.07692e+00  3.75402e-15 -4.22096e+00  1.85811e+00 -1.55936e-15 -2.57945e+00
0248  5.19410e-01  8.44457e+00  1.99636e+00  6.07703e+00  2.92752e-15 -4.23667e+00  1.84451e+00 -7.69858e-15 -2.57000e+00
0249  5.21315e-01  8.38284e+00  1.97209e+00  6.07713e+00  9.40155e-16 -4.25238e+00  1.83106e+00 -1.56981e-14 -2.56062e+00
0250  5.23219e-01  8.32179e+00  1.94821e+00  6.07723e+00 -1.91895e-15 -4.26808e+00  1.81775e+00 -1.76332e-14 -2.55131e+00
0251  5.25123e-01  8.26140e+00  1.92470e+00  6.07733e+00 -4.24689e-15 -4.28379e+00  1.80459e+00 -1.55703e-14 -2.54207e+00
0252  5.27028e-01  8.20167e+00  1.90156e+00  6.07743e+00 -5.66514e-15 -4.29950e+00  1.79157e+00 -9.50711e-15 -2.53289e+00
0253  5.28932e-01  8.14258e+00  1.87877e+00  6.07753e+00 -6.53662e-15 -4.31520e+00  1.77869e+00 -1.81893e-16 -2.52378e+00
0254  5.30836e-01  8.08413e+00  1.85635e+00  6.07762e+00 -6.84648e-15 -4.33091e+00  1.76595e+00  7.39950e-15 -2.51473e+00
0255  5.32740e-01  8.02631e+00  1.83427e+00  6.07772e+00 -6.91369e-15 -4.34661e+00  1.75335e+00  9.66671e-15 -2.50575e+00
0256  5.34645e-01  7.96911e+00  1.81253e+00  6.07781e+00 -6.86566e-15 -4.36232e+00  1.74088e+00  1.08526e-14 -2.49683e+00
0257  5.36549e-01  7.91251e+00  1.79112e+00  6.07790e+00 -6.25101e-15 -4.37802e+00  1.72855e+00  1.58252e-14 -2.48798e+00
0258  5.38453e-01  7.85652e+00  1.77005e+00  6.07800e+00 -3.93599e-15 -4.39372e+00  1.71634e+00  2.17034e-14 -2.47919e+00
0259  5.40358e-01  7.80113e+00  1.74929e+00  6.07809e+00 -5.18732e-16 -4.40942e+00  1.70426e+00  2.11988e-14 -2.47046e+00
0260  5.42262e-01  7.74631e+00  1.72885e+00  6.07817e+00  1.26328e-15 -4.42512e+00  1.69231e+00  1.48187e-14 -2.46179e+00
0261  5.44166e-01  7.69207e+00  1.70872e+00  6.07826e+00  1.38436e-15 -4.44082e+00  1.68049e+00  1.14279e-15 -2.45318e+00
0262  5.46070e-01  7.63841e+00  1.68889e+00  6.07835e+00  1.37072e-15 -4.45653e+00  1.66879e+00 -1.09225e-14 -2.44463e+00
0263  5.47975e-01  7.58530e+00  1.66936e+00  6.07844e+00  7.90720e-16 -4.47222e+00  1.65721e+00 -1.54996e-14 -2.43615e+00
0264  5.49879e-01  7.53274e+00  1.65013e+00  6.07852e+00 -4.57415e-16 -4.48792e+00  1.64575e+00 -1.42322e-14 -2.42772e+00
0265  5.51783e-01  7.48073e+00  1.63118e+00  6.07860e+00 -1.15869e-15 -4.50362e+00  1.63441e+00 -8.54105e-15 -2.41935e+00
0266  5.53688e-01  7.42925e+00  1.61251e+00  6.07869e+00 -1.72047e-15 -4.51932e+00  1.62318e+00 -3.78408e-15 -2.41103e+00
0267  5.55592e-01  7.37831e+00  1.59412e+00  6.07877e+00 -2.64739e-15 -4.53502e+00  1.61207e+00 -1.67486e-15 -2.40278e+00
0268  5.57496e-01  7.32789e+00  1.57600e+00  6.07885e+00 -3.48765e-15 -4.55072e+00  1.60108e+00  8.96283e-16 -2.39458e+00
0269  5.59400e-01  7.27798e+00  1.55815e+00  6.07893e+00 -3.63005e-15 -4.56641e+00  1.59019e+00  3.70755e-15 -2.38643e+00
0270  5.61305e-01  7.22859e+00  1.54056e+00  6.07901e+00 -3.67633e-15 -4.58211e+00  1.57942e+00  6.72123e-15 -2.37834e+00
0271  5.63209e-01  7.17969e+00  1.52323e+00  6.07908e+00 -3.19177e-15 -4.59780e+00  1.56876e+00  1.33454e-14 -2.37031e+00
0272  5.65113e-01  7.13129e+00  1.50615e+00  6.07916e+00 -1.16154e-15 -4.61350e+00  1.55820e+00  1.80391e-14 -2.36233e+00
0273  5.67018e-01  7.08338e+00  1.48932e+00  6.07923e+00  1.91274e-15 -4.62919e+00  1.54775e+00  1.74675e-14 -2.35440e+00
0274  5.68922e-01  7.03595e+00  1.47274e+00  6.07931e+00  4.13347e-15 -4.64489e+00  1.53741e+00  1.48887e-14 -2.34653e+00
0275  5.70826e-01  6.98900e+00  1.45639e+00  6.07938e+00  5.04364e-15 -4.66058e+00  1.52717e+00  1.07770e-14 -2.33871e+00
0276  5.72731e-01  6.94251e+00  1.44028e+00  6.07946e+00  5.46912e-15 -4.67627e+00  1.51703e+00  6.25018e-15 -2.33094e+00
0277  5.74635e-01  6.89649e+00  1.42440e+00  6.07953e+00  5.58478e-15 -4.69197e+00  1.50699e+00  2.81263e-15 -2.32322e+00
0278  5.76539e-01  6.85092e+00  1.40875e+00  6.07960e+00  5.81494e-15 -4.70766e+00  1.49705e+00  1.52989e-15 -2.31555e+00
0279  5.78443e-01  6.80580e+00  1.39331e+00  6.07967e+00  5.99238e-15 -4.72335e+00  1.48721e+00 -6.70581e-16 -2.30794e+00
0280  5.80348e-01  6.76113e+00  1.37810e+00  6.07974e+00  5.89847e-15 -4.73904e+00  1.47746e+00 -4.54272e-15 -2.30037e+00
0281  5.82252e-01  6.71690e+00  1.36311e+00  6.07980e+00  5.63886e-15 -4.75473e+00  1.46781e+00 -7.29176e-15 -2.29285e+00
0282  5.84156e-01  6.67310e+00  1.34832e+00  6.07987e+00  5.27000e-15 -4.77042e+00  1.45826e+00 -8.06425e-15 -2.28539e+00
0283  5.86061e-01  6.62973e+00  1.33375e+00  6.07994e+00  5.43653e-15 -4.78611e+00  1.44880e+00 -6.14570e-15 -2.27797e+00
0284  5.87965e-01  6.58678e+00  1.31937e+00  6.08000e+00  6.21439e-15 -4.80180e+00  1.43943e+00 -2.02298e-15 -2.27060e+00
0285  5.89869e-01  6.54425e+00  1.30520e+00  6.08007e+00  6.94903e-15 -4.81749e+00  1.43015e+00  1.25618e-15 -2.26327e+00
0286  5.91773e-01  6.50212e+00  1.29123e+00  6.08013e+00  6.88644e-15 -4.83318e+00  1.42095e+00  7.89938e-16 -2.25600e+00
0287  5.93678e-01  6.46041e+00  1.27745e+00  6.08020e+00  5.84904e-15 -4.84886e+00  1.41185e+00 -4.36059e-15 -2.24877e+00
0288  5.95582e-01  6.41909e+00  1.26386e+00  6.08026e+00  2.83161e-15 -4.86455e+00  1.40284e+00 -8.54468e-15 -2.24158e+00
0289  5.97486e-01  6.37817e+00  1.25046e+00  6.08032e+00 -8.58543e-16 -4.88024e+00  1.39391e+00 -8.31795e-15 -2.23445e+00
0290  5.99391e-01  6.33764e+00  1.23724e+00  6.08038e+00 -1.61343e-15 -4.89593e+00  1.38507e+00 -3.32117e-15 -2.22735e+00
0291  6.01295e-01  6.29749e+00  1.22420e+00  6.08044e+00 -1.60993e-15 -4.91161e+00  1.37631e+00  4.61658e-15 -2.22031e+00
0292  6.03199e-01  6.25773e+00  1.21134e+00  6.08050e+00 -1.12188e-15 -4.92730e+00  1.36763e+00  1.23829e-14 -2.21330e+00
0293  6.05104e-01  6.21834e+00  1.19866e+00  6.08056e+00  4.88988e-16 -4.94298e+00  1.35903e+00  1.71497e-14 -2.20634e+00
0294  6.07008e-01  6.17932e+00  1.18615e+00  6.08062e+00  2.96862e-15 -4.95867e+00  1.35052e+00  1.71810e-14 -2.19943e+00
0295  6.08912e-01  6.14067e+00  1.17381e+00  6.08067e+00  4.82452e-15 -4.97435e+00  1.34208e+00  1.40425e-14 -2.19256e+00
0296  6.10816e-01  6.10239e+00  1.16163e+00  6.08073e+00  5.86822e-15 -4.99004e+00  1.33373e+00  8.53694e-15 -2.18573e+00
0297  6.12721e-01  6.06445e+00  1.14962e+00  6.08079e+00  6.59484e-15 -5.00572e+00  1.32545e+00  5.59120e-15 -2.17894e+00
0298  6.14625e-01  6.02687e+00  1.13777e+00  6.08084e+00  7.34798e-15 -5.02140e+00  1.31725e+00  6.00239e-15 -2.17220e+00
0299  6.16529e-01  5.98964e+00  1.12608e+00  6.08090e+00  8.17859e-15 -5.03709e+00  1.30912e+00  9.01036e-15 -2.16549e+00
0300  6.18434e-01  5.95276e+00  1.11454e+00  6.08095e+00  8.16711e-15 -5.05277e+00  1.30107e+00  1.03994e-14 -2.15883e+00
0301  6.20338e-01  5.91621e+00  1.10316e+00  6.08100e+00  7.75744e-15 -5.06845e+00  1.29310e+00  9.25737e-15 -2.15221e+00
0302  6.22242e-01  5.88000e+00  1.09193e+00  6.08106e+00  6.76423e-15 -5.08413e+00  1.28519e+00  5.86741e-15 -2.14563e+00
0303  6.24146e-01  5.84412e+00  1.08084e+00  6.08111e+00  5.26753e-15 -5.09982e+00  1.27736e+00  4.14083e-16 -2.13909e+00
0304  6.26051e-01  5.80857e+00  1.06991e+00  6.08116e+00  3.24523e-15 -5.11550e+00  1.26960e+00 -3.03397e-15 -2.13259e+00
0305  6.27955e-01  5.77335e+00  1.05911e+00  6.08121e+00  2.10711e-15 -5.13118e+00  1.26191e+00 -3.16206e-15 -2.12613e+00
0306  6.29859e-01  5.73844e+00  1.04846e+00  6.08126e+00  1.95936e-15 -5.14686e+00  1.25429e+00 -2.06953e-15 -2.11971e+00
0307  6.31764e-01  5.70385e+00  1.03794e+00  6.08131e+00  2.10035e-15 -5.16254e+00  1.24674e+00 -3.38203e-17 -2.11333e+00
0308  6.33668e-01  5.66957e+00  1.02757e+00  6.08136e+00  2.71078e-15 -5.17822e+00  1.23926e+00  6.40985e-16 -2.10698e+00
0309  6.35572e-01  5.63560e+00  1.01732e+00  6.08140e+00  3.84265e-15 -5.19390e+00  1.23184e+00  3.74023e-16 -2.10067e+00
0310  6.37477e-01  5.60193e+00  1.00721e+00  6.08145e+00  4.20350e-15 -5.20957e+00  1.22449e+00 -1.10891e-15 -2.09441e+00
0311  6.39381e-01  5.56857e+00  9.97232e-01  6.08150e+00  4.13033e-15 -5.22525e+00  1.21721e+00 -3.53098e-15 -2.08817e+00
0312  6.41285e-01  5.53550e+00  9.87380e-01  6.08155e+00  3.79626e-15 -5.24093e+00  1.20999e+00 -6.05475e-15 -2.08198e+00
0313  6.43189e-01  5.50272e+00  9.77654e-01  6.08159e+00  3.33854e-15 -5.25661e+00  1.20284e+00 -8.31702e-15 -2.07582e+00
0314  6.45094e-01  5.47024e+00  9.68053e-01  6.08164e+00  2.60070e-15 -5.27229e+00  1.19575e+00 -1.24592e-14 -2.06970e+00
0315  6.46998e-01  5.43805e+00  9.58574e-01  6.08168e+00  1.34029e-15 -5.28796e+00  1.18872e+00 -1.49916e-14 -2.06361e+00
0316  6.48902e-01  5.40613e+00  9.49215e-01  6.08172e+00 -1.53761e-16 -5.30364e+00  1.18175e+00 -1.41382e-14 -2.05756e+00
0317  6.50807e-01  5.37450e+00  9.39974e-01  6.08177e+00 -1.31406e-15 -5.31932e+00  1.17484e+00 -1.12039e-14 -2.05155e+00
0318  6.52711e-01  5.34315e+00  9.30850e-01  6.08181e+00 -2.78057e-15 -5.33499e+00  1.16800e+00 -1.01050e-14 -2.04557e+00
0319  6.54615e-01  5.31206e+00  9.21842e-01  6.08185e+00 -4.25073e-15 -5.35067e+00  1.16121e+00 -8.27214e-15 -2.03963e+00
0320  6.56519e-01  5.28125e+00  9.12946e-01  6.08190e+00 -4.73391e-15 -5.36635e+00  1.15448e+00 -4.41319e-15 -2.03371e+00
0321  6.58424e-01  5.25071e+00  9.04161e-01  6.08194e+00 -4.90834e-15 -5.38202e+00  1.14781e+00 -2.95484e-15 -2.02784e+00
0322  6.60328e-01  5.22043e+00  8.95486e-01  6.08198e+00 -5.31623e-15 -5.39770e+00  1.14120e+00 -4.26375e-15 -2.02200e+00
0323  6.62232e-01  5.19041e+00  8.86919e-01  6.08202e+00 -6.28396e-15 -5.41337e+00  1.13465e+00 -7.88020e-15 -2.01619e+00
0324  6.64137e-01  5.16066e+00  8.78459e-01  6.08206e+00 -7.53976e-15 -5.42904e+00  1.12815e+00 -9.74484e-15 -2.01041e+00
0325  6.66041e-01  5.13115e+00  8.70103e-01  6.08210e+00 -8.41333e-15 -5.44472e+00  1.12171e+00 -9.67534e-15 -2.00467e+00
0326  6.67945e-01  5.10190e+00  8.61850e-01  6.08214e+00 -8.34258e-15 -5.46039e+00  1.11532e+00 -9.32141e-15 -1.99896e+00
0327  6.69850e-01  5.07290e+00  8.53699e-01  6.08218e+00 -8.15654e-15 -5.47607e+00  1.10899e+00 -7.57688e-15 -1.99328e+00
0328  6.71754e-01  5.04414e+00  8.45647e-01  6.08221e+00 -7.24629e-15 -5.49174e+00  1.10271e+00 -1.89496e-15 -1.98764e+00
0329  6.73658e-01  5.01563e+00  8.37694e-01  6.08225e+00 -4.94871e-15 -5.50741e+00  1.09648e+00  6.74018e-15 -1.98203e+00
0330  6.75562e-01  4.98736e+00  8.29838e-01  6.08229e+00 -1.34097e-15 -5.52308e+00  1.09031e+00  1.38191e-14 -1.97645e+00
0331  6.77467e-01  4.95933e+00  8.22078e-01  6.08232e+00  2.31581e-15 -5.53876e+00  1.08419e+00  1.67485e-14 -1.97090e+00
0332  6.79371e-01  4.93154e+00  8.14412e-01  6.08236e+00  3.33401e-15 -5.55443e+00  1.07812e+00  1.58526e-14 -1.96538e+00
0333  6.81275e-01  4.90398e+00  8.06838e-01  6.08240e+00  3.23419e-15 -5.57010e+00  1.07210e+00  1.30682e-14 -1.95989e+00
0334  6.83180e-01  4.87665e+00  7.99356e-01  6.08243e+00  2.81537e-15 -5.58577e+00  1.06613e+00  9.16851e-15 -1.95443e+00
0335  6.85084e-01  4.84954e+00  7.91964e-01  6.08247e+00  1.75452e-15 -5.60144e+00  1.06021e+00  4.75435e-15 -1.94900e+00
0336  6.86988e-01  4.82267e+00  7.84661e-01  6.08250e+00  1.90942e-16 -5.61711e+00  1.05434e+00  4.25122e-16 -1.94361e+00
0337  6.88892e-01  4.79601e+00  7.77444e-01  6.08253e+00 -1.00672e-15 -5.63278e+00  1.04852e+00 -2.76432e-15 -1.93824e+00
0338  6.90797e-01  4.76958e+00  7.70314e-01  6.08257e+00 -1.01193e-15 -5.64845e+00  1.04275e+00 -3.55305e-15 -1.93290e+00
0339  6.92701e-01  4.74336e+00  7.63269e-01  6.08260e+00 -9.13737e-16 -5.66412e+00  1.03702e+00 -4.65498e-15 -1.92759e+00
0340  6.94605e-01  4.71736e+00  7.56307e-01  6.08263e+00 -4.59058e-16 -5.67979e+00  1.03134e+00 -4.78438e-15 -1.92232e+00
0341  6.96510e-01  4.69157e+00  7.49428e-01  6.08267e+00  9.87837e-16 -5.69546e+00  1.02571e+00 -2.99359e-15 -1.91706e+00
0342  6.98414e-01  4.66600e+00  7.42630e-01  6.08270e+00  3.69402e-15 -5.71113e+00  1.02012e+00  1.26392e-15 -1.91184e+00
0343  7.00318e-01  4.64063e+00  7.35912e-01  6.08273e+00  6.47101e-15 -5.72680e+00  1.01458e+00  5.27040e-15 -1.90665e+00
0344  7.02223e-01  4.61547e+00  7.29272e-01  6.08276e+00  7.37894e-15 -5.74247e+00  1.00909e+00  6.85935e-15 -1.90148e+00
0345  7.04127e-01  4.59051e+00  7.22711e-01  6.08279e+00  7.39752e-15 -5.75814e+00  1.00363e+00  8.00403e-15 -1.89635e+00
0346  7.06031e-01  4.56576e+00  7.16226e-01  6.08282e+00  7.21798e-15 -5.77380e+00  9.98228e-01  8.80427e-15 -1.89124e+00
0347  7.07935e-01  4.54120e+00  7.09816e-01  6.08285e+00  6.75487e-15 -5.78947e+00  9.92864e-01  8.82167e-15 -1.88616e+00
0348  7.09840e-01  4.51685e+00  7.03481e-01  6.08288e+00  6.00202e-15 -5.80514e+00  9.87544e-01  7.76308e-15 -1.88110e+00
0349  7.11744e-01  4.49269e+00  6.97219e-01  6.08291e+00  4.69413e-15 -5.82081e+00  9.82266e-01  6.46570e-15 -1.87607e+00
0350  7.13648e-01  4.46872e+00  6.91029e-01  6.08294e+00  3.24646e-15 -5.83647e+00  9.77030e-01  7.04152e-15 -1.87107e+00
0351  7.15553e-01  4.44494e+00  6.84911e-01  6.08297e+00  2.56673e-15 -5.85214e+00  9.71836e-01  9.23447e-15 -1.86610e+00
0352  7.17457e-01  4.42136e+00  6.78863e-01  6.08300e+00  2.33883e-15 -5.86781e+00  9.66684e-01  1.21349e-14 -1.86115e+00
0353  7.19361e-01  4.39796e+00  6.72884e-01  6.08302e+00  2.34626e-15 -5.88347e+00  9.61572e-01  1.45499e-14 -1.85623e+00
0354  7.21265e-01  4.37474e+00  6.66974e-01  6.08305e+00  2.33176e-15 -5.89914e+00  9.56501e-01  1.48205e-14 -1.85133e+00
